"SCS","ISC","NRUSC","tRU","requiredSNR","IRU","NRU","ITBS","Qm","TBS","numTrBlks","NRep","SNR","BLER","TTI","pathloss","datarate","bandwidth"
3750,0,1,32,-5.7403,2,3,3,2,504,100,2,7,0.02,192,151,2.625,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,504,100,2,6,0.03,192,152,2.625,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,504,100,2,5,0.08,192,153,2.625,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,504,100,2,4,0.05,192,154,2.625,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,504,100,2,3,0.08,192,155,2.625,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,504,100,2,2,0.07,192,156,2.625,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,504,100,4,1,0.04,384,157,1.3125,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,504,100,2,0,0.1,192,158,2.625,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,504,100,2,-1,0.09,192,159,2.625,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,504,100,4,-2,0.01,384,160,1.3125,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,504,100,4,-3,0.06,384,161,1.3125,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,504,100,8,-4,0.02,768,162,0.65625,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,504,100,4,-5,0.01,384,163,1.3125,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,504,100,4,-6,0.04,384,164,1.3125,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,504,100,8,-7,0.01,768,165,0.65625,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,584,100,2,10,0.04,192,148,3.04166666666667,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,584,100,2,9,0.02,192,149,3.04166666666667,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,584,100,2,8,0.03,192,150,3.04166666666667,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,584,100,2,7,0.01,192,151,3.04166666666667,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,584,100,2,6,0.09,192,152,3.04166666666667,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,584,100,4,5,0,384,153,1.52083333333333,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,584,100,4,4,0.02,384,154,1.52083333333333,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,584,100,2,3,0.06,192,155,3.04166666666667,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,584,100,4,2,0.02,384,156,1.52083333333333,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,584,100,4,1,0.03,384,157,1.52083333333333,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,584,100,4,0,0.05,384,158,1.52083333333333,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,584,100,4,-1,0.04,384,159,1.52083333333333,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,584,100,4,-2,0.03,384,160,1.52083333333333,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,584,100,4,-3,0.04,384,161,1.52083333333333,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,584,100,4,-4,0.08,384,162,1.52083333333333,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,584,100,4,-5,0.05,384,163,1.52083333333333,"3,75"
3750,0,1,32,-5.7403,2,3,3,2,584,100,4,-6,0.02,384,164,1.52083333333333,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,808,100,2,12,0,256,146,3.15625,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,808,100,2,11,0.02,256,147,3.15625,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,808,100,2,10,0.01,256,148,3.15625,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,808,100,2,9,0.01,256,149,3.15625,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,808,100,2,8,0.03,256,150,3.15625,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,808,100,2,7,0.01,256,151,3.15625,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,808,100,2,6,0.08,256,152,3.15625,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,808,100,2,5,0.05,256,153,3.15625,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,808,100,2,4,0.09,256,154,3.15625,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,808,100,4,3,0.02,512,155,1.578125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,808,100,4,2,0,512,156,1.578125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,808,100,4,1,0.01,512,157,1.578125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,808,100,4,0,0.02,512,158,1.578125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,808,100,4,-1,0.04,512,159,1.578125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,808,100,4,-2,0.03,512,160,1.578125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,808,100,4,-3,0.03,512,161,1.578125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,808,100,4,-4,0,512,162,1.578125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,808,100,4,-5,0.03,512,163,1.578125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,808,100,4,-6,0.01,512,164,1.578125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,808,100,4,-7,0.01,512,165,1.578125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,936,100,1,16,0.01,128,142,7.3125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,936,100,2,15,0,256,143,3.65625,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,936,100,2,14,0,256,144,3.65625,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,936,100,2,13,0,256,145,3.65625,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,936,100,2,12,0.02,256,146,3.65625,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,936,100,2,11,0.02,256,147,3.65625,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,936,100,2,10,0.03,256,148,3.65625,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,936,100,2,9,0,256,149,3.65625,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,936,100,2,8,0.03,256,150,3.65625,"3,75"
