x,y,distance,FriisDistance,HataPathloss,Distribution,DataSize,Intervall
2.592,1.323,1.1062517796595854,72.96176388108974,127.82860733005401,,10,24
1.101,1.657,0.42877733149036695,13.410798176626681,113.11579337059639,,10,24
1.491,0.429,1.0710378144584811,68.86316671624859,127.3264406387843,,10,24
0.739,1.089,0.8648942131844796,46.99616885561925,124.00794994686693,,10,24
2.288,0.952,0.9598166491575356,66.60932064661938,125.62445969737087,,50,5
2.4,1.278,0.9269757278375739,63.19441189744656,125.08402107238945,,50,5
1.569,1.084,0.42168353062456676,23.01685984916665,112.85682541374116,,50,5
1.941,2.111,0.7535263764461071,46.734495604934224,121.86818245606597,,50,5
0.951,1.992,0.7372007867602964,45.32427688438245,121.52816644136904,,50,5
0.765,0.847,0.9831754675539865,69.09503156022734,125.99772021457906,,50,5
0.816,1.101,0.7918693073986389,50.14178883781395,122.63863527689959,,50,5
1.132,0.479,1.0852948908015736,80.50998982305858,127.53171387597939,,50,5
2.027,0.456,1.169472103130297,90.58057552786686,128.69130813430067,,50,5
1.457,1.223,0.2803176769310133,16.274448374797714,106.5182118429496,,50,5
2.177,0.904,0.9019672943072825,60.65691239028181,124.65947514419442,,50,5
1.539,1.592,0.0999249718538865,10.993032345994004,90.50596873567547,,50,5
0.821,2.434,1.1547281065255146,88.77398225297095,128.4943568534671,,50,5
0.86,1.32,0.6648308055437865,39.36800421976731,119.92418951406015,,50,5
1.486,0.583,0.9171068640022274,62.18653662407586,124.9178703505391,,50,5
2.334,1.14,0.9083809773437576,61.302470839662206,124.7694664799326,,50,5
1.383,2.344,0.8520710064308019,55.758174453427046,123.77607463055206,,50,5
2.304,1.621,0.8130541187399519,52.08122429101607,123.04846816581104,,50,5
2.512,2.104,1.1785414714807452,91.70080602136402,128.81122765803627,,50,5
2.437,1.054,1.0377306972427864,75.08287099191189,126.83603488932795,,50,5
1.202,2.066,0.6396561576347092,37.41026635138431,119.3249659499377,,50,5
1.205,1.28,0.36800135869314393,20.205110073114177,110.74305470433279,,50,5
2.339,2.226,1.1095030419066005,83.3454378310457,127.87416294435822,,50,5
1.537,0.645,0.8558002103294903,56.116702604782574,123.84386578004568,,50,5
2.035,1.673,0.5622757330705285,31.768895771254734,117.32342883574456,,50,5
1.553,0.942,0.5605113736580196,31.646967534426143,117.27464215214604,,50,5
1.454,1.604,0.1137189518066361,11.251206530441888,92.51328088493572,,50,5
1.038,1.927,0.6291049197073569,36.60747074707811,119.06677270308342,,50,5
0.862,0.83,0.9251724163635663,63.00961159012363,125.05379327796518,,50,5
1.957,1.701,0.4992494366546647,27.60197634251567,115.47792949518197,,50,5
1.442,0.421,1.0805577263617154,79.96090255052721,127.4638089077478,,50,5
1.829,1.125,0.49886471111915703,27.577742063269408,115.46596258255012,,50,5
0.867,2.317,1.0335269711042863,74.61244612806072,126.77302449758287,,50,5
2.292,0.624,1.1809487711158344,91.99929450154823,128.84290315319012,,50,5
0.496,0.92,1.1594895428592704,89.35543187496874,128.55823402693883,,50,5
1.239,1.548,0.2653770901943119,15.689366669154678,105.66797931901222,,50,5
1.082,2.168,0.7880025380669786,49.792147560089,122.56264840431625,,50,5
2.266,1.615,0.7745844046971254,48.589315884968585,122.29604242462398,,50,5
1.735,1.153,0.4190871031181943,22.873967635628432,112.76094909619005,,50,5
1.034,1.98,0.6689962630687857,39.697661128182574,120.02114578263344,,50,5
1.692,2.369,0.8899578641711081,59.4578183463558,124.4513999382992,,50,5
2.302,0.884,1.0112665326213461,72.14645183256204,126.43502760071459,,50,5
0.391,1.716,1.1298393691140347,85.76536290578503,128.15611499179224,,50,5
2.462,0.888,1.1401701627388783,87.00791273002193,128.29740787940278,,50,5
1.36,1.698,0.24249536078036618,14.842595306928496,104.26826437226065,,50,5
2.143,1.1,0.7572641547042879,47.06078496969285,121.944993110069,,50,5
1.674,0.824,0.698034383107308,42.04064141431973,120.68072486693721,,50,5
0.707,1.716,0.8218911120093708,52.90212928270536,123.21627778132596,,50,5
2.35,1.759,0.8885837045546132,59.32142108685588,124.42741246273812,,50,5
